Asset_ID,Asset_Type,Installation_Year,Last_Maintenance_Date,Total_Maintenance_Cost,Condition_Score,Failure_Impact_Score,Failure_History_Count,Operating_Hours,Environmental_Stress_Index,System_Importance_Score,Failure_Probability,Priority_Score,Budget_Constraint_Flag,Scheduled_Disposal_Year,RUL
A0074,Circuit Breaker,1983,2020-09-14,30550.93,8.13,54,0,28027,0.67,0.86,0.96,80.9,1,2027,10.02
A0075,Recloser,1980,2020-11-03,31749.72,1.62,57,0,98382,0.55,0.51,0.86,24.53,1,2029,0.0
A0076,Circuit Breaker,1987,2019-07-29,29789.01,5.27,4,7,87551,0.15,0.11,0.45,61.52,1,2030,0.72
A0077,Transformer,2008,2022-10-17,35280.37,6.05,75,4,10583,0.92,0.69,0.07,44.32,0,2028,9.35
A0078,Switchgear,1982,2023-12-24,12252.96,6.66,96,8,51387,0.65,0.52,0.48,63.27,1,2031,5.97
A0079,Switchgear,2011,2023-03-02,25862.01,7.2,49,1,24104,0.27,0.3,0.69,86.29,1,2031,9.33
A0080,Switchgear,1989,2023-11-17,5659.13,3.28,7,8,13224,0.65,0.42,0.61,7.99,1,2026,5.86
A0081,Recloser,1989,2019-12-27,19533.31,1.09,11,7,61624,0.71,0.3,0.54,77.8,0,2026,0.0
A0082,Transformer,1998,2023-01-13,24639.52,7.51,92,8,57058,0.57,0.26,0.47,49.3,0,2026,6.39
A0083,Recloser,2013,2021-06-05,32785.1,5.82,54,3,97372,0.75,0.16,0.3,56.41,1,2026,0.38
A0084,Recloser,2012,2019-08-01,47551.29,8.53,87,0,30299,0.62,0.36,0.28,65.39,0,2033,10.25
A0085,Transformer,2002,2021-12-19,30232.23,8.39,45,0,79572,0.95,0.25,0.5,92.26,0,2029,5.15
A0086,Transformer,2007,2020-11-07,37307.9,8.59,23,4,86469,0.15,0.68,0.17,5.67,1,2035,4.69
A0087,Transformer,2011,2023-09-03,25560.17,5.37,28,1,78928,0.2,0.68,0.34,2.95,1,2032,1.7
A0088,Transformer,1986,2022-03-26,31888.15,4.0,57,7,74474,0.26,0.5,0.33,17.83,1,2029,0.56
A0089,Switchgear,2008,2024-09-11,4011.14,8.12,26,9,5141,0.72,0.78,0.59,98.64,1,2035,12.3
A0090,Cable,1987,2019-08-23,13092.38,5.06,25,4,24350,0.68,0.84,0.08,71.51,1,2029,6.82
A0091,Cable,1980,2021-11-06,18411.73,2.65,54,4,76082,0.9,0.58,0.82,61.46,0,2025,0.0
A0092,Transformer,1982,2024-07-07,23888.42,8.69,29,1,71871,0.76,0.62,0.56,4.7,1,2030,6.27
A0093,Cable,2003,2021-03-21,2759.61,8.94,83,6,6077,0.56,0.28,0.67,87.91,1,2028,13.16
A0094,Cable,2002,2021-09-10,7431.19,5.2,97,7,47015,0.99,0.89,0.7,81.28,1,2027,4.71
A0095,Transformer,1987,2024-05-27,14202.31,1.68,36,9,72147,0.34,0.02,0.3,66.48,1,2030,0.0
A0096,Cable,1982,2020-10-07,48590.87,4.49,14,0,60180,0.85,0.35,0.47,33.91,1,2026,2.56
A0097,Recloser,2012,2022-07-04,16901.68,8.23,78,1,41857,0.48,0.72,0.95,7.05,0,2032,8.75
A0098,Circuit Breaker,2007,2024-03-15,24361.03,9.12,35,9,60840,0.68,0.08,0.76,58.0,1,2025,7.88
A0099,Circuit Breaker,1987,2021-11-25,10206.84,2.83,30,3,60902,0.75,0.18,0.96,71.97,0,2033,0.56
A0100,Transformer,2013,2023-10-30,30733.61,1.6,92,4,6577,0.67,0.59,0.74,9.42,1,2032,4.58
A0101,Switchgear,2014,2022-10-31,14393.82,8.9,17,1,21002,0.23,0.56,0.18,63.38,1,2025,11.62
A0102,Transformer,2011,2023-04-04,10746.13,4.5,67,0,51711,0.5,0.74,0.07,28.64,1,2034,3.42
A0103,Switchgear,2003,2021-05-29,26070.35,5.88,80,8,40451,0.61,0.81,0.58,76.42,0,2033,6.16
A0104,Circuit Breaker,1993,2020-01-03,772.54,9.71,30,0,50103,0.86,0.13,0.36,53.96,1,2026,9.64
A0105,Transformer,2011,2020-06-08,879.37,1.6,93,3,29647,0.5,0.02,0.28,12.9,1,2027,2.26
A0106,Recloser,1995,2020-08-10,11343.91,6.83,45,1,35831,0.93,0.69,0.8,52.65,1,2026,7.72
A0107,Cable,1983,2022-10-10,2317.71,1.67,79,3,97498,0.5,0.3,0.37,39.57,1,2032,0.0
A0108,Switchgear,2000,2024-08-24,5847.27,4.38,89,7,96119,0.59,0.63,0.32,18.04,1,2026,0.0
A0109,Cable,1993,2021-02-19,17273.6,8.23,51,7,67830,0.82,0.15,0.84,84.15,1,2034,6.14
A0110,Cable,2010,2021-01-29,40227.99,4.9,47,8,81632,0.62,0.47,0.84,1.1,1,2026,0.89
A0111,Transformer,1997,2022-09-05,28816.41,9.97,53,4,37833,0.96,0.5,0.36,31.21,0,2025,11.17
A0112,Cable,1986,2021-07-07,25877.05,6.03,64,6,93864,0.69,0.59,0.83,1.26,1,2031,0.97
A0113,Recloser,1989,2022-09-05,15027.7,3.89,38,2,25398,0.57,0.51,0.84,9.6,1,2026,5.35
A0114,Cable,1986,2023-10-10,46621.81,2.98,64,9,62554,0.12,0.5,0.43,29.71,1,2034,0.57
A0115,Transformer,2012,2024-08-01,20152.24,4.15,87,3,51755,0.47,0.33,0.08,5.43,0,2029,3.01
A0116,Recloser,2002,2023-10-08,4811.09,4.35,89,9,18706,0.37,0.07,0.01,59.66,0,2029,6.56
A0117,Circuit Breaker,2000,2021-06-27,31044.79,1.62,7,8,23340,0.77,0.09,0.52,8.69,1,2027,2.92
A0118,Cable,1998,2020-03-25,6135.0,4.33,22,9,65994,0.29,0.43,0.35,70.17,0,2027,1.79
A0119,Transformer,1998,2021-12-12,17588.55,5.18,81,9,64884,0.28,0.36,0.99,5.26,1,2027,2.89
A0120,Circuit Breaker,2015,2020-10-16,25616.89,7.5,82,0,85361,0.27,0.52,0.77,5.93,1,2030,3.54
A0121,Circuit Breaker,2008,2020-05-26,43774.01,6.91,41,1,18482,0.21,0.3,0.76,30.53,0,2028,9.55
A0122,Switchgear,1997,2020-03-12,24930.56,7.38,74,4,55225,0.38,0.69,0.95,89.66,1,2027,6.42
A0123,Recloser,1981,2020-07-19,35261.81,1.08,10,2,59849,0.9,0.86,0.88,64.14,0,2026,0.0
A0124,Cable,1980,2022-10-27,49644.43,2.96,57,1,75854,0.8,0.3,0.32,77.01,0,2027,0.0
A0125,Transformer,1984,2023-08-08,7008.71,6.96,7,0,42256,0.76,0.19,0.17,14.16,0,2028,7.23
A0126,Switchgear,1999,2023-07-03,14099.21,5.36,50,9,82110,0.82,0.12,0.74,83.41,1,2030,1.37
A0127,Recloser,1990,2024-07-01,20031.52,1.05,91,2,15650,0.34,0.62,0.38,0.81,1,2028,3.03
A0128,Switchgear,1981,2024-09-02,21380.49,8.24,52,0,47118,0.9,0.44,0.47,21.31,1,2032,8.23
A0129,Recloser,1982,2022-03-27,20845.54,7.96,33,0,29930,0.22,0.19,0.63,61.61,1,2027,9.63
A0130,Recloser,2002,2020-09-05,45426.74,5.94,1,0,86707,0.4,0.65,0.9,37.52,1,2027,1.59
A0131,Cable,1991,2023-09-05,35844.62,1.6,53,7,12801,0.63,0.15,0.42,98.42,1,2027,3.95
A0132,Recloser,1999,2020-02-03,30591.31,7.9,60,2,52360,0.19,0.55,0.78,3.03,1,2032,7.31
A0133,Switchgear,1984,2023-04-15,15813.95,6.25,34,0,88908,0.76,0.53,0.27,99.86,0,2028,1.73
A0134,Recloser,2009,2020-05-09,41277.62,8.04,4,6,17559,0.45,0.73,0.69,62.36,1,2025,10.96
A0135,Cable,1988,2023-07-12,47775.5,7.77,17,9,33334,0.81,0.06,0.01,55.87,1,2026,9.07
A0136,Cable,2013,2021-08-14,41149.31,8.23,4,2,14288,0.54,0.89,0.86,5.95,1,2034,11.51
A0137,Switchgear,2014,2023-11-13,577.47,5.66,43,7,23398,0.26,0.7,0.04,27.33,0,2026,7.61
A0138,Circuit Breaker,2001,2020-07-19,32001.87,2.26,90,3,77230,0.76,0.22,0.71,92.47,0,2027,0.0
A0139,Circuit Breaker,2003,2020-02-13,3031.2,7.04,4,3,13191,0.33,0.18,0.06,35.42,0,2030,10.24
A0140,Recloser,1996,2023-10-25,13251.56,6.58,1,4,19051,0.54,0.43,0.27,66.17,1,2032,9.11
A0141,Transformer,1989,2024-04-01,3446.47,7.68,71,5,62715,0.17,0.82,0.5,99.95,0,2025,6.02
A0142,Recloser,2009,2022-11-22,30387.87,2.53,94,6,11737,0.66,0.84,0.42,26.31,0,2033,5.14
A0143,Switchgear,2002,2020-07-02,34486.2,2.75,50,3,66140,0.7,0.52,0.2,57.61,1,2025,0.0
A0144,Switchgear,2011,2023-02-11,6167.14,9.01,73,7,26251,0.44,0.86,0.34,69.64,1,2034,11.22
A0145,Switchgear,1996,2023-02-22,19500.02,7.75,61,5,51975,0.96,0.01,0.72,16.46,1,2026,7.17
A0146,Switchgear,1996,2020-10-30,23083.71,9.17,35,0,6147,0.89,0.04,0.67,14.87,0,2027,13.42
A0147,Switchgear,1993,2019-11-10,18768.12,7.83,8,0,51508,0.74,0.91,0.08,45.63,1,2031,7.31
A0148,Cable,1988,2019-09-09,6490.74,6.37,24,8,53224,0.74,0.78,0.74,38.58,1,2033,5.44
A0149,Circuit Breaker,1981,2020-12-17,21237.92,6.89,83,9,20643,0.33,0.45,0.06,71.42,1,2027,9.32
A0150,Switchgear,2004,2022-06-16,37683.31,9.0,36,5,39967,0.69,0.75,0.54,6.95,1,2032,9.83
A0151,Transformer,1988,2024-09-29,4014.88,6.21,50,9,99850,0.28,0.96,0.26,97.22,1,2033,0.58
A0152,Transformer,2001,2022-01-31,4468.91,6.69,43,7,41733,0.23,0.77,0.59,1.43,1,2034,6.97
A0153,Transformer,1983,2024-05-04,18061.18,2.41,27,6,85003,1.0,0.84,0.27,60.13,0,2031,0.0
A0154,Transformer,2005,2024-04-05,47115.42,5.27,32,5,35808,0.66,0.76,0.98,56.26,1,2028,5.91
A0155,Cable,2008,2023-07-29,33594.35,7.45,78,3,68288,0.49,0.17,0.31,13.47,0,2028,5.19
A0156,Transformer,2013,2021-07-15,34094.16,3.44,18,6,59959,0.36,0.83,0.25,15.09,0,2028,1.36
A0157,Switchgear,2002,2020-03-22,18415.04,2.82,28,8,2849,0.64,0.2,0.28,79.27,1,2030,6.37
A0158,Recloser,1990,2023-12-31,29886.21,3.82,29,9,69178,0.14,0.89,0.89,88.76,0,2028,0.88
A0159,Transformer,1985,2024-06-13,1001.49,3.17,16,9,68136,0.19,0.46,0.63,28.3,0,2029,0.23
A0160,Cable,1997,2023-01-31,31986.75,2.93,99,6,61740,0.13,0.68,0.73,43.8,0,2033,0.59
A0161,Cable,2000,2024-06-22,45707.7,4.82,47,0,87322,0.55,0.5,0.91,35.5,1,2031,0.22
A0162,Transformer,2015,2023-08-26,30822.39,9.17,59,9,45565,0.64,0.09,0.9,7.25,0,2032,9.47
A0163,Recloser,2013,2022-03-14,43748.08,5.56,31,8,21183,0.16,0.29,0.73,67.32,0,2029,7.71
A0164,Transformer,1996,2023-07-25,36336.67,2.69,4,3,2132,0.75,0.98,0.2,82.52,0,2029,6.29
A0165,Cable,2004,2023-01-03,6467.64,1.69,37,2,39259,0.31,0.96,0.84,30.49,0,2035,1.4
A0166,Circuit Breaker,1991,2023-11-04,45171.44,7.27,17,3,97612,0.72,0.32,0.21,99.02,1,2031,2.04
A0167,Switchgear,2002,2022-12-31,3788.97,4.45,39,3,64668,0.98,1.0,0.74,7.59,1,2035,2.06
A0168,Cable,2001,2019-08-11,26931.39,8.4,48,9,39563,0.72,0.85,0.68,66.18,0,2032,9.17
A0169,Transformer,2000,2024-01-30,7535.79,6.94,46,1,93227,0.89,0.61,0.75,44.82,1,2033,2.1
A0170,Switchgear,2006,2020-01-07,1079.48,8.17,90,0,11931,0.95,0.04,0.53,44.66,1,2026,11.68
A0171,Transformer,2010,2024-06-03,21390.7,3.45,48,9,74169,0.54,0.9,0.64,45.76,0,2027,0.0
A0172,Transformer,1985,2023-03-15,15104.52,7.23,39,0,51639,0.73,0.56,0.94,25.87,1,2026,6.6
A0173,Circuit Breaker,2006,2019-12-12,24557.02,3.38,4,7,59901,0.87,0.87,0.11,71.56,1,2034,1.3
A0174,Switchgear,2013,2023-07-12,29071.39,9.45,30,1,2044,0.42,0.83,0.31,72.16,0,2031,14.16
A0175,Switchgear,1991,2020-03-07,2665.08,6.73,30,9,47691,0.34,0.83,0.61,28.24,0,2026,6.42
A0176,Circuit Breaker,1986,2023-06-06,6588.66,3.92,22,4,25363,0.95,0.7,0.95,83.53,1,2026,5.39
A0177,Cable,1989,2020-07-29,28152.8,3.43,75,3,47694,0.75,0.29,0.1,31.68,1,2026,2.58
A0178,Transformer,1996,2023-03-20,17486.78,2.72,66,7,2582,0.3,0.34,0.03,72.51,1,2028,6.28
A0179,Recloser,2005,2020-01-11,36594.09,7.25,12,1,80910,0.5,0.31,0.06,12.1,1,2025,3.69
A0180,Transformer,2000,2023-04-19,32788.44,2.97,94,9,67844,0.82,0.02,0.06,16.87,0,2026,0.03
A0181,Transformer,2007,2022-11-20,42357.42,6.36,36,8,22301,0.59,0.58,0.9,31.58,0,2027,8.53
A0182,Cable,1981,2021-07-01,34778.39,3.38,18,6,75329,0.68,0.7,0.72,59.39,0,2031,0.0
A0183,Transformer,1980,2020-01-30,21781.59,6.96,90,6,2620,0.78,0.85,0.67,64.55,0,2034,11.2
A0184,Circuit Breaker,2015,2020-02-11,33811.85,8.33,53,0,63224,0.66,0.14,0.52,39.64,0,2025,6.72
A0185,Circuit Breaker,2005,2020-12-04,14131.37,8.0,71,1,57655,0.59,0.54,0.78,7.78,1,2030,6.89
A0186,Switchgear,2008,2019-08-03,15662.52,7.85,1,3,96419,0.77,0.01,0.16,37.36,1,2027,2.83
A0187,Recloser,2000,2020-12-18,39554.77,2.69,58,3,38534,0.75,0.1,0.39,68.88,0,2027,2.64
A0188,Transformer,1990,2023-05-29,22597.77,1.8,90,2,40390,0.67,0.05,0.49,67.1,0,2028,1.42
A0189,Transformer,1990,2024-11-12,40019.83,7.29,87,6,72629,0.42,0.73,0.12,16.02,0,2028,4.57
A0190,Cable,2015,2023-05-29,41209.91,4.32,90,7,56856,0.47,0.08,0.42,0.78,1,2031,2.7
A0191,Circuit Breaker,2014,2023-11-02,42949.34,4.89,6,1,50252,0.97,0.72,0.32,75.3,1,2027,4.02
A0192,Recloser,2013,2023-03-19,45873.44,1.28,70,3,56809,0.2,0.25,0.04,10.64,1,2032,0.0
A0193,Switchgear,2003,2024-08-20,21833.77,3.34,44,2,23259,0.34,0.88,0.14,8.23,0,2032,4.93
A0194,Circuit Breaker,2001,2024-05-25,16283.91,1.3,72,1,21655,0.54,0.81,0.76,0.27,0,2035,2.72
A0195,Switchgear,1984,2024-11-16,29318.84,8.91,24,5,34005,0.85,0.96,0.03,43.26,0,2031,10.32
A0196,Cable,2012,2021-10-16,18873.03,3.19,86,3,32629,0.25,0.88,0.93,50.33,0,2026,3.81
A0197,Cable,2015,2023-11-06,30253.17,6.02,19,5,24610,0.35,0.93,0.09,63.77,0,2029,7.91
A0198,Transformer,1999,2023-10-05,35426.5,1.35,18,1,58184,0.16,0.86,0.79,29.61,1,2030,0.0
A0199,Recloser,1998,2024-07-27,34576.05,7.0,95,3,22602,0.74,0.69,0.89,71.04,0,2034,9.25
A0200,Switchgear,2014,2021-10-06,19040.37,3.91,30,5,86945,0.31,0.17,0.93,16.93,1,2028,0.0
A0201,Circuit Breaker,1996,2023-05-11,8759.58,9.08,42,4,12110,0.45,0.27,0.86,83.2,1,2034,12.72
A0202,Cable,2013,2020-08-02,21811.2,8.99,33,2,7073,0.5,0.21,0.29,57.18,1,2029,13.12
A0203,Transformer,1988,2024-11-04,7558.41,3.93,74,7,81818,0.9,0.6,0.34,58.39,1,2033,0.0
A0204,Transformer,2005,2021-11-08,44559.8,9.11,12,6,11195,0.47,0.5,0.43,20.98,1,2035,12.84
A0205,Switchgear,1981,2022-02-03,17620.93,9.97,94,2,2537,0.23,0.87,0.15,7.41,0,2031,14.71
A0206,Cable,1988,2024-04-05,8145.76,8.43,27,5,18138,0.57,0.95,0.03,46.47,0,2026,11.36
A0207,Recloser,1988,2019-11-10,1759.66,8.6,39,3,45328,0.97,0.4,0.86,61.56,0,2035,8.83
A0208,Cable,1996,2024-04-15,32468.21,3.24,9,4,47202,0.65,0.51,0.55,9.5,1,2025,2.41
A0209,Switchgear,1980,2022-10-06,32026.66,6.19,21,4,41164,0.99,0.97,0.61,95.05,1,2026,6.44
A0210,Switchgear,2004,2021-05-05,17359.91,1.61,76,6,90743,0.86,0.28,0.92,98.04,1,2027,0.0
A0211,Cable,2004,2022-12-19,4049.74,1.85,29,4,55659,0.13,0.79,0.66,54.55,1,2035,0.0
A0212,Switchgear,2014,2022-11-05,20776.63,9.99,33,2,87155,0.69,0.23,0.69,95.01,1,2026,6.25
A0213,Cable,1982,2022-09-23,15905.27,3.94,62,9,50692,0.36,0.68,0.78,17.94,1,2035,2.87
A0214,Circuit Breaker,2009,2022-10-19,34017.47,7.73,15,4,25845,0.6,0.25,0.12,2.54,0,2027,9.77
A0215,Cable,2013,2022-12-08,30486.07,8.26,2,6,90846,0.35,0.88,0.36,3.94,1,2034,3.87
A0216,Cable,1991,2024-05-17,18547.39,8.72,52,4,31562,0.41,0.56,0.96,58.75,1,2035,10.35
A0217,Switchgear,1998,2022-05-03,11285.68,9.98,44,4,29036,0.93,0.19,0.91,6.16,0,2035,12.07
A0218,Switchgear,1996,2024-09-15,49407.78,3.17,54,8,61752,0.29,0.22,0.88,95.85,1,2033,0.87
A0219,Transformer,1989,2019-08-15,22973.08,1.36,18,2,75233,0.89,0.49,0.45,14.19,0,2028,0.0
A0220,Transformer,1991,2022-04-22,34569.57,4.7,3,5,84049,0.13,0.96,0.85,30.47,0,2033,0.41
A0221,Circuit Breaker,1995,2019-10-12,7457.37,2.17,7,0,69681,0.18,0.77,0.06,82.25,0,2035,0.0
A0222,Transformer,2003,2022-07-31,24536.69,1.2,43,9,28818,0.87,0.49,0.16,21.87,1,2027,1.88
A0223,Cable,1998,2021-08-24,1863.07,4.24,82,4,31544,0.67,0.34,0.42,24.3,0,2025,5.14
A0224,Switchgear,1987,2023-08-24,25520.03,8.05,38,7,63532,0.77,0.55,0.48,64.23,0,2035,6.36
A0225,Transformer,2010,2023-05-02,48218.86,6.1,37,4,79636,0.29,0.75,0.27,27.61,1,2029,2.48
