Asset_Type,Total_Maintenance_Cost,Condition_Score,Failure_Impact_Score,Failure_History_Count,Operating_Hours,Environmental_Stress_Index,System_Importance_Score,Failure_Probability,Budget_Constraint_Flag,RUL,Days_Since_Maintenance
2,20845.54,7.96,33,0,29930,0.22,0.19,0.63,1,9.63,1508
2,45426.74,5.94,1,0,86707,0.4,0.65,0.9,1,1.59,2076
0,35844.62,1.6,53,7,12801,0.63,0.15,0.42,1,3.95,981
2,30591.31,7.9,60,2,52360,0.19,0.55,0.78,1,7.31,2291
3,15813.95,6.25,34,0,88908,0.76,0.53,0.27,0,1.73,1124
2,41277.62,8.04,4,6,17559,0.45,0.73,0.69,1,10.96,2195
0,47775.5,7.77,17,9,33334,0.81,0.06,0.01,1,9.07,1036
0,41149.31,8.23,4,2,14288,0.54,0.89,0.86,1,11.51,1733
3,577.47,5.66,43,7,23398,0.26,0.7,0.04,0,7.61,912
1,32001.87,2.26,90,3,77230,0.76,0.22,0.71,0,0.0,2124
1,3031.2,7.04,4,3,13191,0.33,0.18,0.06,0,10.24,2281
2,13251.56,6.58,1,4,19051,0.54,0.43,0.27,1,9.11,931
4,3446.47,7.68,71,5,62715,0.17,0.82,0.5,0,6.02,772
2,30387.87,2.53,94,6,11737,0.66,0.84,0.42,0,5.14,1268
3,34486.2,2.75,50,3,66140,0.7,0.52,0.2,1,0.0,2141
3,6167.14,9.01,73,7,26251,0.44,0.86,0.34,1,11.22,1187
3,19500.02,7.75,61,5,51975,0.96,0.01,0.72,1,7.17,1176
3,23083.71,9.17,35,0,6147,0.89,0.04,0.67,0,13.42,2021
3,18768.12,7.83,8,0,51508,0.74,0.91,0.08,1,7.31,2376
0,6490.74,6.37,24,8,53224,0.74,0.78,0.74,1,5.44,2438
1,21237.92,6.89,83,9,20643,0.33,0.45,0.06,1,9.32,1973
3,37683.31,9.0,36,5,39967,0.69,0.75,0.54,1,9.83,1427
4,4014.88,6.21,50,9,99850,0.28,0.96,0.26,1,0.58,591
4,4468.91,6.69,43,7,41733,0.23,0.77,0.59,1,6.97,1563
4,18061.18,2.41,27,6,85003,1.0,0.84,0.27,0,0.0,739
4,47115.42,5.27,32,5,35808,0.66,0.76,0.98,1,5.91,768
0,33594.35,7.45,78,3,68288,0.49,0.17,0.31,0,5.19,1019
4,34094.16,3.44,18,6,59959,0.36,0.83,0.25,0,1.36,1763
3,18415.04,2.82,28,8,2849,0.64,0.2,0.28,1,6.37,2243
2,29886.21,3.82,29,9,69178,0.14,0.89,0.89,0,0.88,864
4,1001.49,3.17,16,9,68136,0.19,0.46,0.63,0,0.23,699
0,31986.75,2.93,99,6,61740,0.13,0.68,0.73,0,0.59,1198
0,45707.7,4.82,47,0,87322,0.55,0.5,0.91,1,0.22,690
4,30822.39,9.17,59,9,45565,0.64,0.09,0.9,0,9.47,991
2,43748.08,5.56,31,8,21183,0.16,0.29,0.73,0,7.71,1521
4,36336.67,2.69,4,3,2132,0.75,0.98,0.2,0,6.29,1023
0,6467.64,1.69,37,2,39259,0.31,0.96,0.84,0,1.4,1226
1,45171.44,7.27,17,3,97612,0.72,0.32,0.21,1,2.04,921
3,3788.97,4.45,39,3,64668,0.98,1.0,0.74,1,2.06,1229
0,26931.39,8.4,48,9,39563,0.72,0.85,0.68,0,9.17,2467
4,7535.79,6.94,46,1,93227,0.89,0.61,0.75,1,2.1,834
3,1079.48,8.17,90,0,11931,0.95,0.04,0.53,1,11.68,2318
4,21390.7,3.45,48,9,74169,0.54,0.9,0.64,0,0.0,709
4,15104.52,7.23,39,0,51639,0.73,0.56,0.94,1,6.6,1155
1,24557.02,3.38,4,7,59901,0.87,0.87,0.11,1,1.3,2344
3,29071.39,9.45,30,1,2044,0.42,0.83,0.31,0,14.16,1036
3,2665.08,6.73,30,9,47691,0.34,0.83,0.61,0,6.42,2258
1,6588.66,3.92,22,4,25363,0.95,0.7,0.95,1,5.39,1072
0,28152.8,3.43,75,3,47694,0.75,0.29,0.1,1,2.58,2114
4,17486.78,2.72,66,7,2582,0.3,0.34,0.03,1,6.28,1150
2,36594.09,7.25,12,1,80910,0.5,0.31,0.06,1,3.69,2314
4,32788.44,2.97,94,9,67844,0.82,0.02,0.06,0,0.03,1120
4,42357.42,6.36,36,8,22301,0.59,0.58,0.9,0,8.53,1270
0,34778.39,3.38,18,6,75329,0.68,0.7,0.72,0,0.0,1777
4,21781.59,6.96,90,6,2620,0.78,0.85,0.67,0,11.2,2295
1,33811.85,8.33,53,0,63224,0.66,0.14,0.52,0,6.72,2283
1,14131.37,8.0,71,1,57655,0.59,0.54,0.78,1,6.89,1986
3,15662.52,7.85,1,3,96419,0.77,0.01,0.16,1,2.83,2475
2,39554.77,2.69,58,3,38534,0.75,0.1,0.39,0,2.64,1972
4,22597.77,1.8,90,2,40390,0.67,0.05,0.49,0,1.42,1080
4,40019.83,7.29,87,6,72629,0.42,0.73,0.12,0,4.57,547
0,41209.91,4.32,90,7,56856,0.47,0.08,0.42,1,2.7,1080
1,42949.34,4.89,6,1,50252,0.97,0.72,0.32,1,4.02,923
2,45873.44,1.28,70,3,56809,0.2,0.25,0.04,1,0.0,1151
3,21833.77,3.34,44,2,23259,0.34,0.88,0.14,0,4.93,631
1,16283.91,1.3,72,1,21655,0.54,0.81,0.76,0,2.72,718
3,29318.84,8.91,24,5,34005,0.85,0.96,0.03,0,10.32,543
0,18873.03,3.19,86,3,32629,0.25,0.88,0.93,0,3.81,1670
0,30253.17,6.02,19,5,24610,0.35,0.93,0.09,0,7.91,919
4,35426.5,1.35,18,1,58184,0.16,0.86,0.79,1,0.0,951
2,34576.05,7.0,95,3,22602,0.74,0.69,0.89,0,9.25,655
3,19040.37,3.91,30,5,86945,0.31,0.17,0.93,1,0.0,1680
1,8759.58,9.08,42,4,12110,0.45,0.27,0.86,1,12.72,1098
0,21811.2,8.99,33,2,7073,0.5,0.21,0.29,1,13.12,2110
4,7558.41,3.93,74,7,81818,0.9,0.6,0.34,1,0.0,555
4,44559.8,9.11,12,6,11195,0.47,0.5,0.43,1,12.84,1647
3,17620.93,9.97,94,2,2537,0.23,0.87,0.15,0,14.71,1560
0,8145.76,8.43,27,5,18138,0.57,0.95,0.03,0,11.36,768
2,1759.66,8.6,39,3,45328,0.97,0.4,0.86,0,8.83,2376
0,32468.21,3.24,9,4,47202,0.65,0.51,0.55,1,2.41,758
3,32026.66,6.19,21,4,41164,0.99,0.97,0.61,1,6.44,1315
3,17359.91,1.61,76,6,90743,0.86,0.28,0.92,1,0.0,1834
0,4049.74,1.85,29,4,55659,0.13,0.79,0.66,1,0.0,1241
3,20776.63,9.99,33,2,87155,0.69,0.23,0.69,1,6.25,1285
0,15905.27,3.94,62,9,50692,0.36,0.68,0.78,1,2.87,1328
1,34017.47,7.73,15,4,25845,0.6,0.25,0.12,0,9.77,1302
0,30486.07,8.26,2,6,90846,0.35,0.88,0.36,1,3.87,1252
0,18547.39,8.72,52,4,31562,0.41,0.56,0.96,1,10.35,726
3,11285.68,9.98,44,4,29036,0.93,0.19,0.91,0,12.07,1471
3,49407.78,3.17,54,8,61752,0.29,0.22,0.88,1,0.87,605
4,22973.08,1.36,18,2,75233,0.89,0.49,0.45,0,0.0,2463
4,34569.57,4.7,3,5,84049,0.13,0.96,0.85,0,0.41,1482
1,7457.37,2.17,7,0,69681,0.18,0.77,0.06,0,0.0,2405
4,24536.69,1.2,43,9,28818,0.87,0.49,0.16,1,1.88,1382
0,1863.07,4.24,82,4,31544,0.67,0.34,0.42,0,5.14,1723
3,25520.03,8.05,38,7,63532,0.77,0.55,0.48,0,6.36,993
4,48218.86,6.1,37,4,79636,0.29,0.75,0.27,1,2.48,1107
4,19518.23,3.82,58,8,58705,0.58,0.78,0.36,0,1.93,1966
1,2430.3,6.89,33,5,21104,0.76,0.32,0.17,1,9.27,1466
1,2032.31,3.09,59,7,70603,0.66,0.72,0.49,1,0.0,975
0,19705.34,1.13,95,9,60025,0.52,0.66,0.79,0,0.0,613
3,8421.23,7.88,11,7,97264,0.96,0.96,0.66,1,2.78,627
1,1655.93,6.61,68,2,33317,0.71,0.93,0.12,1,7.72,1558
4,37932.57,7.86,82,6,32416,0.92,0.79,0.49,0,9.26,1371
3,23196.89,1.35,68,6,43012,0.76,0.72,0.69,0,0.63,1750
3,14817.62,8.53,98,9,69045,0.76,0.27,0.53,0,6.37,2055
4,45054.12,6.58,93,5,22400,0.17,0.85,0.39,0,8.78,613
1,6248.88,6.07,88,6,49270,0.42,0.43,0.62,1,5.49,569
4,47817.98,6.62,22,1,73069,0.87,0.27,0.96,0,3.75,1935
3,16041.35,8.78,66,8,50833,0.31,0.38,0.1,0,8.49,2171
2,44475.98,6.28,44,9,64644,0.2,0.84,0.39,0,4.19,1985
2,30345.67,6.23,6,9,81206,0.39,0.15,0.41,1,2.48,934
0,41422.01,9.92,42,0,70468,0.3,0.46,0.58,1,7.84,2033
4,49208.65,7.81,25,0,60473,0.93,0.49,0.16,1,6.39,1190
4,14776.07,4.98,57,2,46809,0.88,0.04,0.18,1,4.47,1567
0,48076.21,7.37,85,2,39328,0.55,0.2,0.29,1,8.0,2195
0,19779.35,4.5,55,0,37784,0.16,0.83,0.95,0,4.82,674
0,19582.84,3.06,16,6,24723,0.74,0.83,0.73,1,4.45,803
3,17349.16,6.37,95,3,61646,0.66,0.29,0.66,1,4.6,758
4,27299.68,9.35,14,9,67255,0.97,0.87,0.81,1,7.5,2376
3,8130.18,9.36,39,1,1074,0.6,0.77,0.14,0,14.15,2477
0,27908.72,4.08,28,9,27498,0.4,0.42,0.85,0,5.36,892
4,27314.39,5.75,96,4,66522,0.57,0.75,0.59,1,3.39,1778
3,38214.14,2.9,92,5,97881,0.98,0.96,0.34,0,0.0,2201
3,41765.67,9.96,51,8,21541,0.73,0.46,0.81,1,12.79,962
0,22301.85,9.83,49,3,46929,0.7,0.24,0.8,0,10.1,925
4,15465.5,6.85,9,1,27028,0.32,0.94,0.84,0,8.63,1761
0,13337.08,8.24,58,4,30545,0.77,0.6,0.12,1,9.89,1941
4,10133.88,7.44,45,2,80569,0.78,0.11,0.96,0,3.95,1025
2,3353.56,6.34,22,1,32673,0.39,0.57,0.95,1,7.47,1066
1,17451.17,1.48,32,0,31974,0.54,0.5,0.36,1,1.89,1089
1,13877.26,5.09,69,9,59899,0.37,0.86,0.07,1,3.29,2041
1,48337.66,7.07,87,1,24097,0.33,0.53,0.17,0,9.18,968
0,28106.59,7.1,69,5,94144,0.12,0.26,0.98,0,2.19,1811
2,17690.21,4.36,42,7,65824,0.36,0.68,0.56,1,1.84,1299
4,29233.15,9.48,53,2,24525,0.6,0.54,0.36,1,11.94,876
3,7390.24,2.51,96,8,58804,0.1,0.23,0.29,0,0.4,1902
4,22480.17,5.5,59,8,16043,0.35,0.57,0.26,1,8.16,1046
3,31498.6,7.22,74,1,42846,0.89,0.82,0.66,0,7.47,1870
4,24700.44,7.27,39,7,78261,0.63,0.03,0.42,0,3.98,664
2,20388.05,6.84,15,9,51227,0.65,0.63,0.96,0,6.19,2100
3,49695.5,3.48,71,4,54028,0.46,0.35,0.68,1,2.0,2173
0,44075.58,2.41,29,3,38383,0.71,0.29,0.79,1,2.33,1518
4,31358.59,6.72,3,9,30483,0.27,0.39,0.3,0,8.13,894
4,28684.18,6.39,83,4,8265,0.84,0.34,0.09,1,9.97,1770
3,31222.69,2.61,10,3,23763,0.21,0.83,0.49,1,4.03,1887
0,10464.95,7.35,92,7,76652,0.69,0.27,0.32,0,4.23,1773
0,20059.32,5.1,29,3,16733,0.41,0.73,0.21,0,7.63,2198
2,2453.25,7.01,79,9,92038,0.77,0.09,0.94,1,2.3,2318
0,24039.53,8.54,35,5,38420,0.59,0.95,0.45,0,9.45,886
0,27379.72,2.53,6,1,10247,0.51,0.62,0.18,1,5.29,1447
0,11773.61,1.17,12,4,24840,0.25,0.71,0.2,0,2.24,855
1,48219.43,8.01,38,5,66149,0.67,0.3,0.29,0,6.05,1488
2,45518.0,6.49,77,4,22058,0.98,0.41,0.99,1,8.71,989
4,36246.09,7.3,93,1,35929,0.84,0.22,0.27,1,8.26,1472
3,26902.64,8.54,19,6,85171,0.15,0.93,0.33,1,4.76,1489
4,43563.47,8.23,67,3,92164,0.44,0.49,0.66,1,3.7,2111
2,6967.29,9.65,8,7,32362,0.93,0.63,0.3,1,11.35,2354
3,39630.23,5.82,8,6,87489,0.55,0.73,0.22,0,1.37,1932
2,6678.63,5.4,84,6,85664,0.7,0.37,0.17,0,1.06,1362
0,39813.43,4.62,47,8,48356,0.92,0.72,0.32,1,3.9,2140
3,14150.49,2.38,4,0,78597,0.89,0.68,0.11,0,0.0,2167
0,43915.98,6.15,51,9,7041,0.55,0.71,0.03,1,9.82,695
4,47230.08,3.49,85,5,79209,0.49,0.49,0.8,0,0.0,743
4,7865.4,9.29,67,5,62954,0.41,0.38,0.15,0,7.86,904
3,23402.44,6.25,45,5,62869,0.75,0.22,0.77,1,4.34,645
3,49058.88,6.34,8,5,22059,0.36,0.82,0.79,1,8.53,716
2,24428.67,4.19,87,9,45722,0.32,0.61,0.54,1,3.66,1293
2,43245.6,1.47,16,6,18548,0.42,0.44,0.31,0,3.22,896
0,29642.21,1.29,77,9,16078,0.26,0.94,0.15,1,3.26,2328
3,19078.83,4.81,67,5,6419,0.73,0.05,0.73,1,8.32,675
4,14646.29,1.76,9,0,36490,0.65,0.85,0.6,1,1.76,2226
2,10559.54,6.46,60,2,77086,0.53,1.0,0.65,1,3.16,1178
2,38209.01,8.93,78,1,59760,0.45,0.89,0.02,1,7.76,2409
4,19633.76,8.95,77,5,31337,0.92,0.81,0.92,1,10.64,2038
2,25808.14,6.93,71,7,2468,0.13,0.37,0.07,0,11.18,1296
0,24870.11,2.9,15,2,25309,0.79,0.23,0.37,0,4.21,900
3,29075.31,8.77,71,9,67344,0.91,0.73,0.4,0,6.82,1307
4,43346.07,8.97,98,7,91283,0.5,0.3,0.01,0,4.65,2243
3,49046.6,2.77,41,7,73255,0.6,0.18,0.5,1,0.0,686
2,20675.42,7.64,22,4,82899,0.95,0.79,0.75,1,3.95,877
2,41462.19,3.58,24,7,29718,0.29,0.31,0.82,0,4.56,2462
4,38344.13,8.22,44,5,95337,0.57,0.91,0.87,0,3.37,1838
0,28889.68,9.98,1,4,38841,0.53,0.84,0.49,0,11.08,1838
1,47824.33,1.27,10,8,74548,0.33,0.85,0.63,1,0.0,1418
4,10423.49,9.08,80,6,84565,0.84,0.77,0.09,1,5.45,1776
1,5908.58,6.6,72,7,47660,0.91,0.88,0.49,1,6.27,1049
1,42771.12,9.76,56,0,51281,0.8,0.81,0.16,0,9.58,1048
0,22237.92,5.19,89,1,1767,0.28,0.6,0.37,0,9.23,1309
1,42424.96,8.63,50,7,4895,0.18,0.3,0.33,0,12.92,799
1,44707.97,1.56,12,8,59026,0.64,0.89,0.43,0,0.0,1462
0,3591.65,4.02,89,3,43968,0.15,0.84,0.57,0,3.64,1952
1,44231.51,1.6,81,9,41097,0.71,0.47,0.89,1,1.11,709
1,22691.79,9.78,60,9,16332,0.58,0.04,0.4,1,13.11,2215
1,25766.41,8.35,26,8,15621,0.7,0.64,0.97,1,11.52,1014
4,31516.33,8.67,78,3,77870,0.63,0.05,0.75,1,5.65,2377
4,46355.94,9.44,41,9,19174,0.48,0.93,0.51,1,12.43,1372
4,1446.25,1.77,36,9,41502,0.28,0.96,0.64,0,1.27,650
0,24103.75,4.47,23,9,37674,0.38,0.19,0.11,1,4.79,1511
2,34542.24,1.64,43,8,38260,0.57,0.68,0.84,0,1.45,2176
1,36273.99,2.9,6,6,43498,0.69,0.09,0.58,1,2.39,1316
1,34780.36,3.06,69,1,68609,0.8,0.73,0.98,0,0.05,940
0,7154.54,5.22,43,8,50464,0.79,0.35,0.63,0,4.38,2275
1,15320.08,3.42,25,3,72805,0.98,0.68,0.83,0,0.05,1722
4,18256.42,1.91,18,7,65919,0.36,0.37,0.79,0,0.0,1838
2,40319.64,2.51,62,6,55469,0.16,0.15,0.35,0,0.73,1985
3,14298.61,2.33,13,6,18194,0.41,0.41,0.26,0,4.26,1212
1,10929.9,9.76,43,7,27811,0.77,0.11,0.43,1,11.93,639
4,47893.68,7.83,78,0,73377,0.49,0.58,0.47,0,5.12,1414
3,938.73,9.71,28,4,44723,0.84,0.04,0.25,0,10.18,2467
2,49892.13,4.96,18,1,76235,0.59,0.53,0.89,1,1.5,648
3,34002.65,3.51,59,1,77298,0.94,0.89,0.54,0,0.0,2094
4,41509.23,8.18,60,0,60238,0.95,0.84,0.97,1,6.85,1772
3,15083.66,3.94,63,4,3147,0.16,0.88,0.8,1,7.64,2181
0,1208.61,3.69,57,1,99919,0.51,0.92,0.55,0,0.0,565
3,37024.54,3.09,92,3,39445,0.65,0.1,0.94,0,3.01,1023
1,41790.16,2.17,51,2,54803,0.33,0.13,0.5,1,0.4,1306
1,37153.57,3.31,56,2,62108,0.47,0.56,0.88,0,1.0,1783
0,7571.09,4.2,27,1,3013,0.71,0.89,0.36,1,7.96,1469
4,37794.68,7.07,32,5,86617,0.3,0.97,0.38,0,2.91,2080
1,38561.68,1.56,9,1,83410,0.64,0.05,0.42,1,0.0,675
2,33097.76,2.89,96,7,54502,0.73,0.36,0.55,0,1.27,1947
1,38422.74,8.28,84,7,38755,0.18,0.21,0.55,0,9.12,1548
1,42373.11,2.32,92,4,9733,0.55,0.76,0.5,1,5.1,1187
4,30873.4,4.08,97,9,10479,0.34,0.64,0.31,1,7.07,2188
3,4885.93,8.78,68,6,76361,0.75,0.12,0.92,1,5.93,2454
1,24637.58,2.39,46,3,22304,0.27,0.48,0.59,1,3.92,828
